featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	urine_neg_ab	urine_neg_aw	maxint	mean1	sd1	mean2	sd2	05102016-089	05102016-092	05102016-093	05102016-100	05102016-108	05102016-109	05102016-121	05102016-126	05102016-127	05102016-131	05102016-132	05102016-139	05102016-141	05102016-143	05102016-087	05102016-088	05102016-096	05102016-101	05102016-102	05102016-104	05102016-110	05102016-111	05102016-113	05102016-118	05102016-129	05102016-130	05102016-137	05102016-147
1	M153T2	2.60589349963309	1.38177812354885	6.32725561371247	4.36120096258819e-06	0.000406759411957457	UP	153.017971643148	153.017775654088	153.018271596148	1.86690832	1.85921661333333	1.87905002	8	0	8	604.43603515625	270.021932163598	114.872306458277	703.648397783488	229.258285786734	474.812542699825	185.292504150764	233.269981173807	223.550261041871	316.571541502651	46.7785902328615	207.12643144349	306.213567840027	114.567813608872	296.403580124282	405.49846351525	403.827844337855	292.621181292925	273.772747325897	750.298915474576	797.233264812814	927.042196525801	922.458275461542	587.21394265023	865.617367885864	450.945948973835	612.340855034667	1020.11654479468	347.471889328539	529.141119101641	373.064013887667	1009.84742373874	658.285811298231
2	M233T1	3.3509297339207	1.74456143480052	5.9800110804409	4.66981832980551e-06	0.000406759411957457	UP	232.97480786191	232.974071921893	232.976340887772	1.36803332666667	1.35433335333333	1.55228328666667	22	5	14	1250.5478515625	528.493922421504	427.410362352384	1770.9459988386	649.355973119362	1854.46721800842	271.02053954193	370.228440197409	446.21280505813	609.159149198891	31.8601331786354	365.612208559927	591.912621023222	222.872605950056	356.276346947982	551.674434983554	578.779999249262	802.965928223696	345.87248377994	2030.12685115888	1852.85378827592	2329.72698868756	2616.69533947522	1224.10322356463	1671.53620293266	932.588195403798	2051.21211472416	2494.7932842519	1298.59475429942	1169.14190037427	1073.66244462609	2909.05525045687	1139.15364550899
3	M357T2	3.36635747616784	1.75118838573226	5.47179915216878	6.63455176348471e-05	0.00287727675436805	UP	357.080968792687	357.079026327626	357.08471786604	1.903424955	1.88756661	1.92361671333333	16	7	9	3256.146484375	624.16326179077	262.449196298439	2101.15666267867	975.283743865135	1012.56699711861	511.89718167478	346.553039534917	769.064656112001	687.681071222866	111.135655186592	489.589081225775	587.367580507086	389.238775044902	533.568293971375	689.605070318593	1098.04042335797	655.444329375098	856.533510420219	2805.91984970932	2444.9419968455	2699.1132489075	1579.82416444083	1479.47380719045	3228.09991524623	1248.5396672898	3047.54775246386	3414.80706340454	387.790547842111	2206.17337790656	372.876410547815	1987.78530784905	2513.30016785776
4	M259T3_2	2.84332447499353	1.50757874613209	4.82395131571337	6.83211524532545e-05	0.00291605456933744	UP	258.989905331033	258.989484050917	258.990732605433	2.53947504666667	2.53563323666667	2.55954991333333	10	0	10	1449.044921875	423.502363480335	351.806658673447	1204.15463530124	492.818487272949	1463.66845376397	205.598288841316	139.89401811105	363.758371190083	330.5992064571	22.2875410240553	269.404256069955	474.871132401739	98.4706617890383	320.614180167316	498.453586629652	574.499178367998	540.198292172098	626.715921739326	1415.28948954279	1834.76105363808	863.726135578559	1399.99439406798	743.028040319106	1209.40764324916	1079.80151949074	1421.80093907952	2283.39326253449	721.572497768775	816.903790719935	681.818637870252	1675.33523496721	711.332255390787
5	M217T3	13.8902891966489	-3.79600473151609	-5.50910002914297	9.64054223713262e-05	0.00335891549895939	DOWN	217.016400732706	217.015798283527	217.016955150278	2.92703344	2.91718335333333	2.94079996	7	7	0	640.76416015625	395.80662028974	248.736371724177	28.4952037129098	19.1139605073478	446.632313252245	304.567506027968	220.738878754879	437.661585703234	90.7308562254033	13.7657049251538	591.045698964913	335.338507560136	168.740235639657	511.418829276151	501.918881069284	739.432265877219	914.291155179132	265.010265600992	58.0174054654102	48.9713435210506	17.8331941017361	45.740371454914	11.8170109674373	47.9525886615618	11.181984847396	59.3113224222507	16.1176536837372	15.9007078351738	11.0047556962176	20.6531967768228	27.4071129282936	7.02420361873549
6	M261T2	3.00648697209998	1.58807870696988	3.87987729146778	0.000862042685494835	0.0217045300062711	UP	261.005627141005	261.004536638064	261.008169757437	2.09693340666667	1.71295004	2.10938325666667	27	11	11	4136.86328125	1209.39163141682	1188.03959982728	3636.02018402142	2016.18601353556	5018.10036191682	590.224539224576	652.527180918352	943.719542555603	846.517665708809	92.2118559170214	723.757108023238	1033.90506297622	572.359960177572	763.32192564682	861.073110324636	1307.95409358176	1558.70143347499	1967.10899938912	4284.60124970079	4497.24070199545	2963.77072823045	7667.68275863042	1894.10820623184	2852.46044900359	2286.25496942025	3356.83431455025	7464.708876526	1716.94157371972	2606.99071961046	1781.05533408674	5575.96187886661	1955.67081572735
7	M387T4	2.61352958875589	-1.38599949268589	-4.12304218603179	0.00089434211515238	0.0222573401701916	DOWN	387.165368119008	387.163843808204	387.166580035861	3.77820842	3.75981677	3.78681661	14	8	6	5540.1171875	3836.68341764842	2068.11491042679	1468.00841060107	586.135271104924	4319.02626324529	2999.73557726461	2282.08934025267	2665.93387531851	2421.64393261934	653.020430200603	4892.67315707096	3330.82832679152	1702.37776485225	8389.70460488185	4063.80636240052	6945.56965423204	5368.27265611067	3678.88590183696	1226.35812690322	1530.51650275856	1702.93008668441	1036.87491110569	1145.92363412841	1577.57977153447	2081.5792395447	1283.17872538605	2965.5471736677	723.885998864989	1129.06451100001	698.501191190822	1703.62356308157	1746.55431256441
8	M433T4	2.09063341208401	-1.06394011073944	-3.30866738396937	0.00340389074429059	0.0705625533717005	DOWN	433.206234284919	433.205176153789	433.207938375873	3.75750824833333	3.74521671333333	3.80619999666667	24	13	11	5123.05078125	4807.82062765066	2465.86062893439	2299.69568067798	1401.57843568291	4965.59562367301	3698.82906017183	3681.60199295753	5170.05905077259	4552.7428955101	758.351417546988	7449.99685970927	3311.53112262095	2326.95329867223	4157.80948807767	4787.30809624707	7969.56823332636	10579.2867579536	3899.85488987004	1178.37120340008	2223.9777397424	1868.15061421773	1637.6787270684	2348.56936720427	1855.1046355819	3510.02578079441	4606.45160024465	5628.32722858669	678.244101637359	2064.4009051053	663.994793038473	1994.78720337446	1937.65562949555
9	M405T4	2.05343992568389	-1.03804274123677	-3.23508568993946	0.00447004036139553	0.0865239935077622	DOWN	405.174487208945	405.173565947819	405.177803362709	3.5937083	3.58141677	3.63175009666667	20	10	10	11121.1484375	7194.20279517767	3861.07699878591	3503.48831986485	1820.24732986834	3042.92828427393	4831.4610186636	5262.73892843738	6336.11764737458	7901.20921258251	1222.00879422381	10090.6830710171	6338.03983514847	3125.42613154547	9162.96913268961	8403.91188166746	14098.3108289686	14353.4113749215	6549.62299097339	1935.43487211638	4906.40005798943	2756.58071344153	3397.57152972523	3645.02319218243	2892.68249082272	4679.18534453198	7038.20502656314	5487.32671534829	717.644074981049	2198.65875231609	753.49771948125	5189.58971610794	3451.03627250042
10	M807T6	1.33764883958785	0.419699428477056	2.26934822790819	0.0317903597106657	0.383870157986427	UP	806.591998163849	806.590243352129	806.594246940074	6.16998321333333	6.15343312666667	6.19598326	27	14	13	779.28369140625	3056.7155417742	1226.57390337007	4088.81199740441	1179.53445080499	1958.51483318645	4839.1721520316	1860.89921824976	3238.06954657376	3424.43887414309	2815.08560554848	3278.89470058474	426.220660686314	4680.60713966946	4858.84508222053	2351.32542317849	3019.04022429408	2735.46704809812	3307.4370763739	4326.83588499333	3702.90926443682	3605.54031002259	3305.68911214901	4393.47831224951	3030.02372066277	4764.02021064389	4737.24495735178	3959.82356565402	5153.05224834309	4705.15478219055	5155.52835936963	888.537827229179	5515.52940836559
